date,applications,year,month,weekday
2022-05-23,79,2022,5,0
2022-05-24,60,2022,5,1
2022-05-25,60,2022,5,2
2022-05-26,75,2022,5,3
2022-05-27,76,2022,5,4
2022-05-28,90,2022,5,5
2022-05-29,95,2022,5,6
2022-05-30,80,2022,5,0
2022-05-31,83,2022,5,1
2022-06-01,35,2022,6,2
2022-06-02,34,2022,6,3
2022-06-03,37,2022,6,4
2022-06-04,61,2022,6,5
2022-06-05,74,2022,6,6
2022-06-06,43,2022,6,0
2022-06-07,24,2022,6,1
2022-06-08,30,2022,6,2
2022-06-09,37,2022,6,3
2022-06-10,41,2022,6,4
2022-06-11,55,2022,6,5
2022-06-12,64,2022,6,6
2022-06-13,44,2022,6,0
2022-06-14,52,2022,6,1
2022-06-15,38,2022,6,2
2022-06-16,37,2022,6,3
2022-06-17,50,2022,6,4
2022-06-18,47,2022,6,5
2022-06-19,67,2022,6,6
2022-06-20,48,2022,6,0
2022-06-21,43,2022,6,1
2022-06-22,57,2022,6,2
2022-06-23,39,2022,6,3
2022-06-24,63,2022,6,4
2022-06-25,57,2022,6,5
2022-06-26,54,2022,6,6
2022-06-27,48,2022,6,0
2022-06-28,36,2022,6,1
2022-06-29,38,2022,6,2
2022-06-30,48,2022,6,3
2022-07-01,61,2022,7,4
2022-07-02,64,2022,7,5
2022-07-03,82,2022,7,6
2022-07-04,67,2022,7,0
2022-07-05,66,2022,7,1
2022-07-06,59,2022,7,2
2022-07-07,65,2022,7,3
2022-07-08,42,2022,7,4
2022-07-09,67,2022,7,5
2022-07-10,68,2022,7,6
2022-07-11,59,2022,7,0
2022-07-12,50,2022,7,1
2022-07-13,53,2022,7,2
2022-07-14,70,2022,7,3
2022-07-15,55,2022,7,4
2022-07-16,73,2022,7,5
2022-07-17,73,2022,7,6
2022-07-18,58,2022,7,0
2022-07-19,55,2022,7,1
2022-07-20,59,2022,7,2
2022-07-21,64,2022,7,3
2022-07-22,70,2022,7,4
2022-07-23,72,2022,7,5
2022-07-24,80,2022,7,6
2022-07-25,49,2022,7,0
2022-07-26,54,2022,7,1
2022-07-27,63,2022,7,2
2022-07-28,62,2022,7,3
2022-07-29,59,2022,7,4
2022-07-30,77,2022,7,5
2022-07-31,79,2022,7,6
2022-08-01,75,2022,8,0
2022-08-02,65,2022,8,1
2022-08-03,60,2022,8,2
2022-08-04,65,2022,8,3
2022-08-05,41,2022,8,4
2022-08-06,81,2022,8,5
2022-08-07,53,2022,8,6
2022-08-08,52,2022,8,0
2022-08-09,66,2022,8,1
2022-08-10,66,2022,8,2
2022-08-11,53,2022,8,3
2022-08-12,59,2022,8,4
2022-08-13,89,2022,8,5
2022-08-14,79,2022,8,6
2022-08-15,84,2022,8,0
2022-08-16,63,2022,8,1
2022-08-17,66,2022,8,2
2022-08-18,76,2022,8,3
2022-08-19,66,2022,8,4
2022-08-20,70,2022,8,5
2022-08-21,82,2022,8,6
2022-08-22,66,2022,8,0
2022-08-23,52,2022,8,1
2022-08-24,61,2022,8,2
2022-08-25,57,2022,8,3
2022-08-26,72,2022,8,4
2022-08-27,78,2022,8,5
2022-08-28,81,2022,8,6
2022-08-29,65,2022,8,0
2022-08-30,65,2022,8,1
2022-08-31,68,2022,8,2
2022-09-01,71,2022,9,3
2022-09-02,73,2022,9,4
2022-09-03,103,2022,9,5
2022-09-04,96,2022,9,6
2022-09-05,71,2022,9,0
2022-09-06,83,2022,9,1
2022-09-07,83,2022,9,2
2022-09-08,67,2022,9,3
2022-09-09,83,2022,9,4
2022-09-10,100,2022,9,5
2022-09-11,103,2022,9,6
2022-09-12,88,2022,9,0
2022-09-13,68,2022,9,1
2022-09-14,82,2022,9,2
2022-09-15,77,2022,9,3
2022-09-16,78,2022,9,4
2022-09-17,102,2022,9,5
2022-09-18,112,2022,9,6
2022-09-19,97,2022,9,0
2022-09-20,90,2022,9,1
2022-09-21,79,2022,9,2
2022-09-22,83,2022,9,3
2022-09-23,88,2022,9,4
2022-09-24,96,2022,9,5
2022-09-25,101,2022,9,6
2022-09-26,90,2022,9,0
2022-09-27,80,2022,9,1
2022-09-28,74,2022,9,2
2022-09-29,77,2022,9,3
2022-09-30,87,2022,9,4
2022-10-01,104,2022,10,5
2022-10-02,112,2022,10,6
2022-10-03,98,2022,10,0
2022-10-04,86,2022,10,1
2022-10-05,95,2022,10,2
2022-10-06,92,2022,10,3
2022-10-07,81,2022,10,4
2022-10-08,116,2022,10,5
2022-10-09,105,2022,10,6
2022-10-10,79,2022,10,0
2022-10-11,81,2022,10,1
2022-10-12,81,2022,10,2
2022-10-13,90,2022,10,3
2022-10-14,89,2022,10,4
2022-10-15,102,2022,10,5
2022-10-16,115,2022,10,6
2022-10-17,95,2022,10,0
2022-10-18,92,2022,10,1
2022-10-19,93,2022,10,2
2022-10-20,95,2022,10,3
2022-10-21,75,2022,10,4
2022-10-22,102,2022,10,5
2022-10-23,92,2022,10,6
2022-10-24,93,2022,10,0
2022-10-25,90,2022,10,1
2022-10-26,98,2022,10,2
2022-10-27,99,2022,10,3
2022-10-28,94,2022,10,4
2022-10-29,101,2022,10,5
2022-10-30,114,2022,10,6
2022-10-31,89,2022,10,0
2022-11-01,84,2022,11,1
2022-11-02,92,2022,11,2
2022-11-03,80,2022,11,3
2022-11-04,93,2022,11,4
2022-11-05,105,2022,11,5
2022-11-06,97,2022,11,6
2022-11-07,95,2022,11,0
2022-11-08,90,2022,11,1
2022-11-09,85,2022,11,2
2022-11-10,78,2022,11,3
2022-11-11,79,2022,11,4
2022-11-12,95,2022,11,5
2022-11-13,109,2022,11,6
2022-11-14,80,2022,11,0
2022-11-15,88,2022,11,1
2022-11-16,75,2022,11,2
2022-11-17,83,2022,11,3
2022-11-18,87,2022,11,4
2022-11-19,119,2022,11,5
2022-11-20,94,2022,11,6
2022-11-21,99,2022,11,0
2022-11-22,86,2022,11,1
2022-11-23,88,2022,11,2
2022-11-24,86,2022,11,3
2022-11-25,90,2022,11,4
2022-11-26,99,2022,11,5
2022-11-27,116,2022,11,6
2022-11-28,84,2022,11,0
2022-11-29,94,2022,11,1
2022-11-30,80,2022,11,2
2022-12-01,96,2022,12,3
2022-12-02,90,2022,12,4
2022-12-03,116,2022,12,5
2022-12-04,129,2022,12,6
2022-12-05,99,2022,12,0
2022-12-06,96,2022,12,1
2022-12-07,88,2022,12,2
2022-12-08,95,2022,12,3
2022-12-09,86,2022,12,4
2022-12-10,105,2022,12,5
2022-12-11,119,2022,12,6
2022-12-12,111,2022,12,0
2022-12-13,120,2022,12,1
2022-12-14,93,2022,12,2
2022-12-15,109,2022,12,3
2022-12-16,101,2022,12,4
2022-12-17,111,2022,12,5
2022-12-18,121,2022,12,6
2022-12-19,101,2022,12,0
2022-12-20,98,2022,12,1
2022-12-21,94,2022,12,2
2022-12-22,86,2022,12,3
2022-12-23,87,2022,12,4
2022-12-24,118,2022,12,5
2022-12-25,115,2022,12,6
2022-12-26,96,2022,12,0
2022-12-27,98,2022,12,1
2022-12-28,104,2022,12,2
2022-12-29,99,2022,12,3
2022-12-30,95,2022,12,4
2022-12-31,123,2022,12,5
2023-01-01,128,2023,1,6
2023-01-02,102,2023,1,0
2023-01-03,103,2023,1,1
2023-01-04,105,2023,1,2
2023-01-05,104,2023,1,3
2023-01-06,102,2023,1,4
2023-01-07,115,2023,1,5
2023-01-08,119,2023,1,6
2023-01-09,89,2023,1,0
2023-01-10,101,2023,1,1
2023-01-11,84,2023,1,2
2023-01-12,89,2023,1,3
2023-01-13,108,2023,1,4
2023-01-14,117,2023,1,5
2023-01-15,127,2023,1,6
2023-01-16,96,2023,1,0
2023-01-17,86,2023,1,1
2023-01-18,93,2023,1,2
2023-01-19,96,2023,1,3
2023-01-20,98,2023,1,4
2023-01-21,120,2023,1,5
2023-01-22,113,2023,1,6
2023-01-23,101,2023,1,0
2023-01-24,88,2023,1,1
2023-01-25,99,2023,1,2
2023-01-26,96,2023,1,3
2023-01-27,92,2023,1,4
2023-01-28,109,2023,1,5
2023-01-29,114,2023,1,6
2023-01-30,97,2023,1,0
2023-01-31,110,2023,1,1
2023-02-01,113,2023,2,2
2023-02-02,112,2023,2,3
2023-02-03,99,2023,2,4
2023-02-04,122,2023,2,5
2023-02-05,132,2023,2,6
2023-02-06,111,2023,2,0
2023-02-07,125,2023,2,1
2023-02-08,113,2023,2,2
2023-02-09,124,2023,2,3
2023-02-10,117,2023,2,4
2023-02-11,129,2023,2,5
2023-02-12,133,2023,2,6
2023-02-13,117,2023,2,0
2023-02-14,128,2023,2,1
2023-02-15,96,2023,2,2
2023-02-16,98,2023,2,3
2023-02-17,112,2023,2,4
2023-02-18,129,2023,2,5
2023-02-19,140,2023,2,6
2023-02-20,121,2023,2,0
2023-02-21,111,2023,2,1
2023-02-22,123,2023,2,2
2023-02-23,123,2023,2,3
2023-02-24,118,2023,2,4
2023-02-25,137,2023,2,5
2023-02-26,137,2023,2,6
2023-02-27,113,2023,2,0
2023-02-28,120,2023,2,1
2023-03-01,136,2023,3,2
2023-03-02,135,2023,3,3
2023-03-03,148,2023,3,4
2023-03-04,130,2023,3,5
2023-03-05,143,2023,3,6
2023-03-06,128,2023,3,0
2023-03-07,132,2023,3,1
2023-03-08,133,2023,3,2
2023-03-09,123,2023,3,3
2023-03-10,129,2023,3,4
2023-03-11,143,2023,3,5
2023-03-12,175,2023,3,6
2023-03-13,152,2023,3,0
2023-03-14,132,2023,3,1
2023-03-15,132,2023,3,2
2023-03-16,126,2023,3,3
2023-03-17,122,2023,3,4
2023-03-18,149,2023,3,5
2023-03-19,147,2023,3,6
2023-03-20,138,2023,3,0
2023-03-21,122,2023,3,1
2023-03-22,129,2023,3,2
2023-03-23,136,2023,3,3
2023-03-24,140,2023,3,4
2023-03-25,154,2023,3,5
2023-03-26,145,2023,3,6
2023-03-27,145,2023,3,0
2023-03-28,129,2023,3,1
2023-03-29,141,2023,3,2
2023-03-30,135,2023,3,3
2023-03-31,127,2023,3,4
2023-04-01,108,2023,4,5
2023-04-02,119,2023,4,6
2023-04-03,104,2023,4,0
2023-04-04,95,2023,4,1
2023-04-05,108,2023,4,2
2023-04-06,104,2023,4,3
2023-04-07,96,2023,4,4
2023-04-08,117,2023,4,5
2023-04-09,131,2023,4,6
2023-04-10,115,2023,4,0
2023-04-11,86,2023,4,1
2023-04-12,88,2023,4,2
2023-04-13,108,2023,4,3
2023-04-14,90,2023,4,4
2023-04-15,100,2023,4,5
2023-04-16,112,2023,4,6
2023-04-17,102,2023,4,0
2023-04-18,95,2023,4,1
2023-04-19,91,2023,4,2
2023-04-20,91,2023,4,3
2023-04-21,92,2023,4,4
2023-04-22,104,2023,4,5
2023-04-23,134,2023,4,6
2023-04-24,102,2023,4,0
2023-04-25,103,2023,4,1
2023-04-26,92,2023,4,2
2023-04-27,95,2023,4,3
2023-04-28,93,2023,4,4
2023-04-29,90,2023,4,5
2023-04-30,105,2023,4,6
2023-05-01,77,2023,5,0
2023-05-02,71,2023,5,1
2023-05-03,79,2023,5,2
2023-05-04,99,2023,5,3
2023-05-05,90,2023,5,4
2023-05-06,114,2023,5,5
2023-05-07,112,2023,5,6
2023-05-08,98,2023,5,0
2023-05-09,82,2023,5,1
2023-05-10,93,2023,5,2
2023-05-11,95,2023,5,3
2023-05-12,86,2023,5,4
2023-05-13,108,2023,5,5
2023-05-14,113,2023,5,6
2023-05-15,88,2023,5,0
2023-05-16,80,2023,5,1
2023-05-17,79,2023,5,2
2023-05-18,90,2023,5,3
2023-05-19,94,2023,5,4
2023-05-20,98,2023,5,5
2023-05-21,109,2023,5,6
2023-05-22,97,2023,5,0
2023-05-23,94,2023,5,1
2023-05-24,102,2023,5,2
2023-05-25,99,2023,5,3
2023-05-26,83,2023,5,4
2023-05-27,118,2023,5,5
2023-05-28,105,2023,5,6
2023-05-29,101,2023,5,0
2023-05-30,90,2023,5,1
2023-05-31,86,2023,5,2
2023-06-01,43,2023,6,3
2023-06-02,58,2023,6,4
2023-06-03,60,2023,6,5
2023-06-04,85,2023,6,6
2023-06-05,73,2023,6,0
2023-06-06,51,2023,6,1
2023-06-07,60,2023,6,2
2023-06-08,52,2023,6,3
2023-06-09,55,2023,6,4
2023-06-10,79,2023,6,5
2023-06-11,77,2023,6,6
2023-06-12,75,2023,6,0
2023-06-13,54,2023,6,1
2023-06-14,66,2023,6,2
2023-06-15,59,2023,6,3
2023-06-16,66,2023,6,4
2023-06-17,69,2023,6,5
2023-06-18,78,2023,6,6
2023-06-19,60,2023,6,0
2023-06-20,51,2023,6,1
2023-06-21,63,2023,6,2
2023-06-22,63,2023,6,3
2023-06-23,65,2023,6,4
2023-06-24,85,2023,6,5
2023-06-25,90,2023,6,6
2023-06-26,58,2023,6,0
2023-06-27,61,2023,6,1
2023-06-28,53,2023,6,2
2023-06-29,58,2023,6,3
2023-06-30,55,2023,6,4
2023-07-01,96,2023,7,5
2023-07-02,91,2023,7,6
2023-07-03,70,2023,7,0
2023-07-04,78,2023,7,1
2023-07-05,51,2023,7,2
2023-07-06,52,2023,7,3
2023-07-07,77,2023,7,4
2023-07-08,84,2023,7,5
2023-07-09,91,2023,7,6
2023-07-10,61,2023,7,0
2023-07-11,68,2023,7,1
2023-07-12,85,2023,7,2
2023-07-13,75,2023,7,3
2023-07-14,72,2023,7,4
2023-07-15,80,2023,7,5
2023-07-16,86,2023,7,6
2023-07-17,55,2023,7,0
2023-07-18,71,2023,7,1
2023-07-19,76,2023,7,2
2023-07-20,56,2023,7,3
2023-07-21,66,2023,7,4
2023-07-22,75,2023,7,5
2023-07-23,81,2023,7,6
2023-07-24,72,2023,7,0
2023-07-25,52,2023,7,1
2023-07-26,74,2023,7,2
2023-07-27,75,2023,7,3
2023-07-28,69,2023,7,4
2023-07-29,64,2023,7,5
2023-07-30,81,2023,7,6
2023-07-31,82,2023,7,0
2023-08-01,54,2023,8,1
2023-08-02,73,2023,8,2
2023-08-03,67,2023,8,3
2023-08-04,85,2023,8,4
2023-08-05,86,2023,8,5
2023-08-06,100,2023,8,6
2023-08-07,84,2023,8,0
2023-08-08,91,2023,8,1
2023-08-09,75,2023,8,2
2023-08-10,80,2023,8,3
2023-08-11,67,2023,8,4
2023-08-12,101,2023,8,5
2023-08-13,91,2023,8,6
2023-08-14,75,2023,8,0
2023-08-15,76,2023,8,1
2023-08-16,64,2023,8,2
2023-08-17,79,2023,8,3
2023-08-18,86,2023,8,4
2023-08-19,94,2023,8,5
2023-08-20,84,2023,8,6
2023-08-21,79,2023,8,0
2023-08-22,83,2023,8,1
2023-08-23,62,2023,8,2
2023-08-24,68,2023,8,3
2023-08-25,86,2023,8,4
2023-08-26,94,2023,8,5
2023-08-27,100,2023,8,6
2023-08-28,95,2023,8,0
2023-08-29,81,2023,8,1
2023-08-30,82,2023,8,2
2023-08-31,99,2023,8,3
2023-09-01,93,2023,9,4
2023-09-02,102,2023,9,5
2023-09-03,117,2023,9,6
2023-09-04,100,2023,9,0
2023-09-05,89,2023,9,1
2023-09-06,85,2023,9,2
2023-09-07,112,2023,9,3
2023-09-08,98,2023,9,4
2023-09-09,103,2023,9,5
2023-09-10,121,2023,9,6
2023-09-11,96,2023,9,0
2023-09-12,91,2023,9,1
2023-09-13,98,2023,9,2
2023-09-14,83,2023,9,3
2023-09-15,98,2023,9,4
2023-09-16,124,2023,9,5
2023-09-17,117,2023,9,6
2023-09-18,94,2023,9,0
2023-09-19,90,2023,9,1
2023-09-20,90,2023,9,2
2023-09-21,92,2023,9,3
2023-09-22,93,2023,9,4
2023-09-23,116,2023,9,5
2023-09-24,100,2023,9,6
2023-09-25,104,2023,9,0
2023-09-26,91,2023,9,1
2023-09-27,97,2023,9,2
2023-09-28,85,2023,9,3
2023-09-29,107,2023,9,4
2023-09-30,119,2023,9,5
2023-10-01,131,2023,10,6
2023-10-02,94,2023,10,0
2023-10-03,110,2023,10,1
2023-10-04,106,2023,10,2
2023-10-05,90,2023,10,3
2023-10-06,105,2023,10,4
2023-10-07,121,2023,10,5
2023-10-08,128,2023,10,6
2023-10-09,108,2023,10,0
2023-10-10,106,2023,10,1
2023-10-11,115,2023,10,2
2023-10-12,113,2023,10,3
2023-10-13,82,2023,10,4
2023-10-14,116,2023,10,5
2023-10-15,122,2023,10,6
2023-10-16,93,2023,10,0
2023-10-17,104,2023,10,1
2023-10-18,114,2023,10,2
2023-10-19,95,2023,10,3
2023-10-20,108,2023,10,4
2023-10-21,111,2023,10,5
2023-10-22,118,2023,10,6
2023-10-23,119,2023,10,0
2023-10-24,99,2023,10,1
2023-10-25,107,2023,10,2
2023-10-26,89,2023,10,3
2023-10-27,121,2023,10,4
2023-10-28,124,2023,10,5
2023-10-29,122,2023,10,6
2023-10-30,112,2023,10,0
2023-10-31,93,2023,10,1
2023-11-01,107,2023,11,2
2023-11-02,95,2023,11,3
2023-11-03,98,2023,11,4
2023-11-04,109,2023,11,5
2023-11-05,113,2023,11,6
2023-11-06,107,2023,11,0
2023-11-07,100,2023,11,1
2023-11-08,103,2023,11,2
2023-11-09,98,2023,11,3
2023-11-10,104,2023,11,4
2023-11-11,110,2023,11,5
2023-11-12,136,2023,11,6
2023-11-13,89,2023,11,0
2023-11-14,108,2023,11,1
2023-11-15,109,2023,11,2
2023-11-16,92,2023,11,3
2023-11-17,118,2023,11,4
2023-11-18,121,2023,11,5
2023-11-19,126,2023,11,6
2023-11-20,102,2023,11,0
2023-11-21,97,2023,11,1
2023-11-22,97,2023,11,2
2023-11-23,102,2023,11,3
2023-11-24,112,2023,11,4
2023-11-25,115,2023,11,5
2023-11-26,111,2023,11,6
2023-11-27,108,2023,11,0
2023-11-28,106,2023,11,1
2023-11-29,104,2023,11,2
2023-11-30,105,2023,11,3
2023-12-01,111,2023,12,4
2023-12-02,118,2023,12,5
2023-12-03,124,2023,12,6
2023-12-04,101,2023,12,0
2023-12-05,113,2023,12,1
2023-12-06,110,2023,12,2
2023-12-07,108,2023,12,3
2023-12-08,89,2023,12,4
2023-12-09,116,2023,12,5
2023-12-10,140,2023,12,6
2023-12-11,109,2023,12,0
2023-12-12,114,2023,12,1
2023-12-13,100,2023,12,2
2023-12-14,123,2023,12,3
2023-12-15,112,2023,12,4
2023-12-16,129,2023,12,5
2023-12-17,150,2023,12,6
2023-12-18,127,2023,12,0
2023-12-19,109,2023,12,1
2023-12-20,107,2023,12,2
2023-12-21,109,2023,12,3
2023-12-22,118,2023,12,4
2023-12-23,126,2023,12,5
2023-12-24,128,2023,12,6
2023-12-25,126,2023,12,0
2023-12-26,111,2023,12,1
2023-12-27,130,2023,12,2
2023-12-28,112,2023,12,3
2023-12-29,128,2023,12,4
2023-12-30,130,2023,12,5
2023-12-31,140,2023,12,6
2024-01-01,107,2024,1,0
2024-01-02,103,2024,1,1
2024-01-03,114,2024,1,2
2024-01-04,118,2024,1,3
2024-01-05,112,2024,1,4
2024-01-06,115,2024,1,5
2024-01-07,119,2024,1,6
2024-01-08,102,2024,1,0
2024-01-09,96,2024,1,1
2024-01-10,111,2024,1,2
2024-01-11,119,2024,1,3
2024-01-12,112,2024,1,4
2024-01-13,107,2024,1,5
2024-01-14,129,2024,1,6
2024-01-15,112,2024,1,0
2024-01-16,127,2024,1,1
2024-01-17,99,2024,1,2
2024-01-18,107,2024,1,3
2024-01-19,126,2024,1,4
2024-01-20,129,2024,1,5
2024-01-21,135,2024,1,6
2024-01-22,114,2024,1,0
2024-01-23,113,2024,1,1
2024-01-24,117,2024,1,2
2024-01-25,104,2024,1,3
2024-01-26,120,2024,1,4
2024-01-27,115,2024,1,5
2024-01-28,133,2024,1,6
2024-01-29,115,2024,1,0
2024-01-30,106,2024,1,1
2024-01-31,111,2024,1,2
2024-02-01,124,2024,2,3
2024-02-02,122,2024,2,4
2024-02-03,141,2024,2,5
2024-02-04,140,2024,2,6
2024-02-05,134,2024,2,0
2024-02-06,120,2024,2,1
2024-02-07,135,2024,2,2
2024-02-08,120,2024,2,3
2024-02-09,126,2024,2,4
2024-02-10,139,2024,2,5
2024-02-11,160,2024,2,6
2024-02-12,135,2024,2,0
2024-02-13,127,2024,2,1
2024-02-14,133,2024,2,2
2024-02-15,112,2024,2,3
2024-02-16,131,2024,2,4
2024-02-17,160,2024,2,5
2024-02-18,150,2024,2,6
2024-02-19,133,2024,2,0
2024-02-20,134,2024,2,1
2024-02-21,137,2024,2,2
2024-02-22,113,2024,2,3
2024-02-23,118,2024,2,4
2024-02-24,146,2024,2,5
2024-02-25,144,2024,2,6
2024-02-26,143,2024,2,0
2024-02-27,127,2024,2,1
2024-02-28,114,2024,2,2
2024-02-29,119,2024,2,3
2024-03-01,130,2024,3,4
2024-03-02,163,2024,3,5
2024-03-03,168,2024,3,6
2024-03-04,149,2024,3,0
2024-03-05,158,2024,3,1
2024-03-06,159,2024,3,2
2024-03-07,148,2024,3,3
2024-03-08,135,2024,3,4
2024-03-09,170,2024,3,5
2024-03-10,174,2024,3,6
2024-03-11,155,2024,3,0
2024-03-12,158,2024,3,1
2024-03-13,141,2024,3,2
2024-03-14,166,2024,3,3
2024-03-15,144,2024,3,4
2024-03-16,171,2024,3,5
2024-03-17,157,2024,3,6
2024-03-18,146,2024,3,0
2024-03-19,162,2024,3,1
2024-03-20,148,2024,3,2
2024-03-21,157,2024,3,3
2024-03-22,154,2024,3,4
2024-03-23,164,2024,3,5
2024-03-24,181,2024,3,6
2024-03-25,151,2024,3,0
2024-03-26,136,2024,3,1
2024-03-27,144,2024,3,2
2024-03-28,155,2024,3,3
2024-03-29,156,2024,3,4
2024-03-30,153,2024,3,5
2024-03-31,165,2024,3,6
2024-04-01,109,2024,4,0
2024-04-02,108,2024,4,1
2024-04-03,100,2024,4,2
2024-04-04,106,2024,4,3
2024-04-05,107,2024,4,4
2024-04-06,132,2024,4,5
2024-04-07,137,2024,4,6
2024-04-08,113,2024,4,0
2024-04-09,108,2024,4,1
2024-04-10,112,2024,4,2
2024-04-11,104,2024,4,3
2024-04-12,104,2024,4,4
2024-04-13,118,2024,4,5
2024-04-14,126,2024,4,6
2024-04-15,105,2024,4,0
2024-04-16,112,2024,4,1
2024-04-17,117,2024,4,2
2024-04-18,98,2024,4,3
2024-04-19,113,2024,4,4
2024-04-20,124,2024,4,5
2024-04-21,134,2024,4,6
2024-04-22,114,2024,4,0
2024-04-23,100,2024,4,1
2024-04-24,101,2024,4,2
2024-04-25,112,2024,4,3
2024-04-26,122,2024,4,4
2024-04-27,109,2024,4,5
2024-04-28,134,2024,4,6
2024-04-29,124,2024,4,0
2024-04-30,110,2024,4,1
2024-05-01,108,2024,5,2
2024-05-02,98,2024,5,3
2024-05-03,105,2024,5,4
2024-05-04,106,2024,5,5
2024-05-05,105,2024,5,6
2024-05-06,114,2024,5,0
2024-05-07,96,2024,5,1
2024-05-08,100,2024,5,2
2024-05-09,93,2024,5,3
2024-05-10,94,2024,5,4
2024-05-11,117,2024,5,5
2024-05-12,118,2024,5,6
2024-05-13,110,2024,5,0
2024-05-14,107,2024,5,1
2024-05-15,106,2024,5,2
2024-05-16,106,2024,5,3
2024-05-17,119,2024,5,4
2024-05-18,110,2024,5,5
2024-05-19,124,2024,5,6
2024-05-20,116,2024,5,0
2024-05-21,114,2024,5,1
2024-05-22,93,2024,5,2
2024-05-23,102,2024,5,3
2024-05-24,117,2024,5,4
2024-05-25,123,2024,5,5
2024-05-26,126,2024,5,6
2024-05-27,105,2024,5,0
2024-05-28,101,2024,5,1
2024-05-29,107,2024,5,2
2024-05-30,102,2024,5,3
2024-05-31,106,2024,5,4
2024-06-01,88,2024,6,5
2024-06-02,87,2024,6,6
2024-06-03,80,2024,6,0
2024-06-04,96,2024,6,1
2024-06-05,58,2024,6,2
2024-06-06,75,2024,6,3
2024-06-07,68,2024,6,4
2024-06-08,92,2024,6,5
2024-06-09,93,2024,6,6
2024-06-10,82,2024,6,0
2024-06-11,82,2024,6,1
2024-06-12,74,2024,6,2
2024-06-13,82,2024,6,3
2024-06-14,56,2024,6,4
2024-06-15,101,2024,6,5
2024-06-16,96,2024,6,6
2024-06-17,84,2024,6,0
2024-06-18,63,2024,6,1
2024-06-19,66,2024,6,2
2024-06-20,74,2024,6,3
2024-06-21,75,2024,6,4
2024-06-22,90,2024,6,5
2024-06-23,102,2024,6,6
2024-06-24,62,2024,6,0
2024-06-25,81,2024,6,1
2024-06-26,73,2024,6,2
2024-06-27,72,2024,6,3
2024-06-28,63,2024,6,4
2024-06-29,92,2024,6,5
2024-06-30,74,2024,6,6
2024-07-01,91,2024,7,0
2024-07-02,71,2024,7,1
2024-07-03,84,2024,7,2
2024-07-04,82,2024,7,3
2024-07-05,95,2024,7,4
2024-07-06,97,2024,7,5
2024-07-07,98,2024,7,6
2024-07-08,82,2024,7,0
2024-07-09,94,2024,7,1
2024-07-10,88,2024,7,2
2024-07-11,81,2024,7,3
2024-07-12,84,2024,7,4
2024-07-13,86,2024,7,5
2024-07-14,107,2024,7,6
2024-07-15,73,2024,7,0
2024-07-16,90,2024,7,1
2024-07-17,85,2024,7,2
2024-07-18,103,2024,7,3
2024-07-19,77,2024,7,4
2024-07-20,98,2024,7,5
2024-07-21,118,2024,7,6
2024-07-22,96,2024,7,0
2024-07-23,78,2024,7,1
2024-07-24,86,2024,7,2
2024-07-25,84,2024,7,3
2024-07-26,88,2024,7,4
2024-07-27,93,2024,7,5
2024-07-28,103,2024,7,6
2024-07-29,74,2024,7,0
2024-07-30,85,2024,7,1
2024-07-31,88,2024,7,2
2024-08-01,89,2024,8,3
2024-08-02,80,2024,8,4
2024-08-03,114,2024,8,5
2024-08-04,114,2024,8,6
2024-08-05,89,2024,8,0
2024-08-06,89,2024,8,1
2024-08-07,79,2024,8,2
2024-08-08,83,2024,8,3
2024-08-09,89,2024,8,4
2024-08-10,116,2024,8,5
2024-08-11,106,2024,8,6
2024-08-12,100,2024,8,0
2024-08-13,87,2024,8,1
2024-08-14,94,2024,8,2
2024-08-15,91,2024,8,3
2024-08-16,101,2024,8,4
2024-08-17,102,2024,8,5
2024-08-18,99,2024,8,6
2024-08-19,84,2024,8,0
2024-08-20,88,2024,8,1
2024-08-21,82,2024,8,2
2024-08-22,95,2024,8,3
2024-08-23,90,2024,8,4
2024-08-24,126,2024,8,5
2024-08-25,98,2024,8,6
2024-08-26,97,2024,8,0
2024-08-27,83,2024,8,1
2024-08-28,88,2024,8,2
2024-08-29,93,2024,8,3
2024-08-30,75,2024,8,4
2024-08-31,109,2024,8,5
2024-09-01,143,2024,9,6
2024-09-02,108,2024,9,0
2024-09-03,110,2024,9,1
2024-09-04,116,2024,9,2
2024-09-05,107,2024,9,3
2024-09-06,106,2024,9,4
2024-09-07,105,2024,9,5
2024-09-08,133,2024,9,6
2024-09-09,110,2024,9,0
2024-09-10,100,2024,9,1
2024-09-11,109,2024,9,2
2024-09-12,104,2024,9,3
2024-09-13,106,2024,9,4
2024-09-14,128,2024,9,5
2024-09-15,118,2024,9,6
2024-09-16,120,2024,9,0
2024-09-17,97,2024,9,1
2024-09-18,103,2024,9,2
2024-09-19,124,2024,9,3
2024-09-20,120,2024,9,4
2024-09-21,125,2024,9,5
2024-09-22,121,2024,9,6
2024-09-23,108,2024,9,0
2024-09-24,109,2024,9,1
2024-09-25,109,2024,9,2
2024-09-26,108,2024,9,3
2024-09-27,111,2024,9,4
2024-09-28,122,2024,9,5
2024-09-29,117,2024,9,6
2024-09-30,108,2024,9,0
2024-10-01,125,2024,10,1
2024-10-02,107,2024,10,2
2024-10-03,117,2024,10,3
2024-10-04,114,2024,10,4
2024-10-05,134,2024,10,5
2024-10-06,135,2024,10,6
2024-10-07,133,2024,10,0
2024-10-08,122,2024,10,1
2024-10-09,108,2024,10,2
2024-10-10,124,2024,10,3
2024-10-11,114,2024,10,4
2024-10-12,129,2024,10,5
